Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2021-2022,609745,SOUTHSIDE HS,,,,,,,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0
2021-2022,610548,STEM,,,,,,,387.0,0.0,0.0,43.0,51.0,43.0,47.0,49.0,49.0,49.0,26.0,30.0,0.0,0.0,0.0,0.0
2021-2022,610249,TALMAN,,,,,,,349.0,1.0,31.0,30.0,41.0,26.0,38.0,34.0,31.0,42.0,35.0,40.0,0.0,0.0,0.0,0.0
2021-2022,610504,THOMAS,,,,,,,117.0,51.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,610201,THORP O,,,,,,,799.0,0.0,0.0,80.0,86.0,81.0,86.0,91.0,95.0,97.0,89.0,94.0,0.0,0.0,0.0,0.0
2021-2022,609895,TURNER-DREW,,,,,,,201.0,0.0,0.0,24.0,27.0,21.0,21.0,23.0,19.0,26.0,25.0,15.0,0.0,0.0,0.0,0.0
2021-2022,610039,VON LINNE,,,,,,,615.0,0.0,49.0,77.0,76.0,72.0,59.0,64.0,59.0,39.0,64.0,56.0,0.0,0.0,0.0,0.0
2021-2022,610366,WACKER,,,,,,,222.0,0.0,17.0,19.0,28.0,24.0,25.0,20.0,26.0,23.0,20.0,20.0,0.0,0.0,0.0,0.0
2021-2022,610217,WARD J,,,,,,,533.0,0.0,38.0,47.0,42.0,58.0,56.0,65.0,58.0,56.0,59.0,54.0,0.0,0.0,0.0,0.0
2021-2022,610542,WEST RIDGE,,,,,,,667.0,7.0,25.0,74.0,62.0,64.0,61.0,74.0,72.0,79.0,74.0,75.0,0.0,0.0,0.0,0.0
2021-2022,609755,YOUNG HS,,,,,,,2143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,127.0,451.0,483.0,446.0,519.0
2021-2022,609973,ZAPATA,,,,,,,554.0,0.0,22.0,59.0,50.0,44.0,58.0,56.0,57.0,59.0,66.0,83.0,0.0,0.0,0.0,0.0
2021-2022,610212,ALBANY PARK,,,,,,,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,124.0,0.0,0.0,0.0,0.0
2021-2022,609792,BATEMAN,,,,,,,879.0,29.0,55.0,86.0,104.0,98.0,90.0,81.0,87.0,76.0,93.0,80.0,0.0,0.0,0.0,0.0
2021-2022,610083,BEARD,,,,,,,288.0,51.0,164.0,16.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,609796,BEAUBIEN,,,,,,,964.0,2.0,15.0,86.0,122.0,98.0,103.0,109.0,109.0,106.0,103.0,111.0,0.0,0.0,0.0,0.0
2021-2022,609798,BELDING,,,,,,,533.0,1.0,39.0,56.0,49.0,64.0,46.0,54.0,53.0,63.0,67.0,41.0,0.0,0.0,0.0,0.0
2021-2022,609810,BRIDGE,,,,,,,1045.0,45.0,64.0,108.0,97.0,98.0,93.0,112.0,117.0,93.0,110.0,108.0,0.0,0.0,0.0,0.0
2021-2022,609836,CANTY,,,,,,,774.0,12.0,70.0,68.0,73.0,78.0,78.0,76.0,83.0,78.0,74.0,84.0,0.0,0.0,0.0,0.0
2021-2022,609857,CLEVELAND,,,,,,,520.0,32.0,45.0,48.0,45.0,56.0,46.0,50.0,48.0,44.0,46.0,60.0,0.0,0.0,0.0,0.0
2021-2022,609884,DEVER,,,,,,,751.0,24.0,48.0,63.0,53.0,77.0,80.0,71.0,65.0,77.0,91.0,102.0,0.0,0.0,0.0,0.0
2021-2022,609874,DIRKSEN,,,,,,,890.0,29.0,73.0,99.0,94.0,111.0,85.0,81.0,86.0,75.0,79.0,78.0,0.0,0.0,0.0,0.0
2021-2022,609901,EDGEBROOK,,,,,,,453.0,0.0,0.0,37.0,57.0,49.0,50.0,54.0,51.0,59.0,51.0,45.0,0.0,0.0,0.0,0.0
2021-2022,609794,EDISON,,,,,,,256.0,0.0,0.0,27.0,28.0,28.0,28.0,31.0,29.0,32.0,26.0,27.0,0.0,0.0,0.0,0.0
2021-2022,610523,EDISON PARK,,,,,,,465.0,0.0,0.0,40.0,51.0,64.0,49.0,46.0,56.0,55.0,43.0,61.0,0.0,0.0,0.0,0.0
2021-2022,609912,FARNSWORTH,,,,,,,521.0,23.0,22.0,48.0,44.0,60.0,50.0,59.0,55.0,51.0,48.0,61.0,0.0,0.0,0.0,0.0
2021-2022,609937,GARVY,,,,,,,706.0,0.0,0.0,79.0,77.0,70.0,80.0,67.0,87.0,96.0,72.0,78.0,0.0,0.0,0.0,0.0
2021-2022,609949,GRAY,,,,,,,1000.0,2.0,57.0,96.0,117.0,87.0,86.0,110.0,98.0,120.0,117.0,110.0,0.0,0.0,0.0,0.0
2021-2022,609988,HENRY,,,,,,,506.0,0.0,37.0,47.0,51.0,47.0,50.0,46.0,60.0,46.0,57.0,65.0,0.0,0.0,0.0,0.0
2021-2022,609994,HIBBARD,,,,,,,836.0,36.0,66.0,106.0,113.0,103.0,107.0,106.0,99.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,609995,HITCH,,,,,,,490.0,0.0,20.0,42.0,41.0,54.0,48.0,55.0,67.0,54.0,52.0,57.0,0.0,0.0,0.0,0.0
2021-2022,610089,MURPHY,,,,,,,481.0,14.0,44.0,41.0,48.0,51.0,40.0,49.0,45.0,42.0,53.0,54.0,0.0,0.0,0.0,0.0
2021-2022,610354,NORTH RIVER,,,,,,,259.0,26.0,20.0,16.0,28.0,16.0,25.0,22.0,24.0,23.0,28.0,31.0,0.0,0.0,0.0,0.0
2021-2022,610099,NORWOOD PARK,,,,,,,382.0,0.0,19.0,28.0,22.0,34.0,47.0,39.0,46.0,48.0,47.0,52.0,0.0,0.0,0.0,0.0
2021-2022,610104,ONAHAN,,,,,,,662.0,0.0,19.0,79.0,79.0,67.0,67.0,75.0,67.0,80.0,71.0,58.0,0.0,0.0,0.0,0.0
2021-2022,610105,ORIOLE PARK,,,,,,,621.0,0.0,38.0,44.0,41.0,64.0,70.0,57.0,77.0,71.0,76.0,83.0,0.0,0.0,0.0,0.0
2021-2022,610127,PETERSON,,,,,,,865.0,5.0,29.0,80.0,96.0,99.0,100.0,91.0,96.0,85.0,97.0,87.0,0.0,0.0,0.0,0.0
2021-2022,610135,PORTAGE PARK,,,,,,,787.0,7.0,42.0,91.0,77.0,90.0,84.0,83.0,82.0,72.0,73.0,86.0,0.0,0.0,0.0,0.0
2021-2022,610137,PRUSSING,,,,,,,642.0,0.0,0.0,81.0,62.0,76.0,72.0,79.0,73.0,66.0,68.0,65.0,0.0,0.0,0.0,0.0
2021-2022,610145,REINBERG,,,,,,,739.0,62.0,67.0,55.0,67.0,83.0,55.0,66.0,68.0,65.0,69.0,82.0,0.0,0.0,0.0,0.0
2021-2022,610155,SAUGANASH,,,,,,,632.0,0.0,0.0,70.0,77.0,87.0,72.0,83.0,63.0,65.0,53.0,62.0,0.0,0.0,0.0,0.0
2021-2022,610159,SCAMMON,,,,,,,653.0,1.0,48.0,71.0,48.0,67.0,58.0,70.0,68.0,71.0,66.0,85.0,0.0,0.0,0.0,0.0
2021-2022,610182,SOLOMON,,,,,,,350.0,22.0,32.0,28.0,35.0,27.0,34.0,31.0,44.0,31.0,33.0,33.0,0.0,0.0,0.0,0.0
2021-2022,610163,STOCK,,,,,,,241.0,123.0,116.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,610209,VOLTA,,,,,,,701.0,4.0,49.0,74.0,63.0,60.0,77.0,78.0,76.0,65.0,75.0,80.0,0.0,0.0,0.0,0.0
2021-2022,610230,WILDWOOD,,,,,,,443.0,1.0,37.0,40.0,44.0,45.0,39.0,48.0,45.0,44.0,50.0,50.0,0.0,0.0,0.0,0.0
2021-2022,609804,BOONE,,,,,,,737.0,0.0,56.0,80.0,74.0,80.0,73.0,59.0,68.0,84.0,77.0,86.0,0.0,0.0,0.0,0.0
2021-2022,610242,BRENNEMANN,,,,,,,433.0,22.0,25.0,59.0,49.0,46.0,34.0,42.0,38.0,36.0,42.0,40.0,0.0,0.0,0.0,0.0
2021-2022,609866,COONLEY,,,,,,,877.0,0.0,0.0,68.0,78.0,88.0,95.0,121.0,114.0,117.0,97.0,99.0,0.0,0.0,0.0,0.0
2021-2022,610355,COURTENAY,,,,,,,208.0,3.0,9.0,22.0,16.0,17.0,31.0,20.0,20.0,15.0,23.0,32.0,0.0,0.0,0.0,0.0
2021-2022,609880,DECATUR,,,,,,,311.0,0.0,0.0,27.0,29.0,29.0,54.0,27.0,27.0,57.0,26.0,35.0,0.0,0.0,0.0,0.0
2021-2022,610363,DISNEY,,,,,,,1467.0,1.0,57.0,178.0,183.0,180.0,179.0,167.0,151.0,148.0,105.0,118.0,0.0,0.0,0.0,0.0
2021-2022,609918,FIELD,,,,,,,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,36.0,31.0,27.0,0.0,0.0,0.0,0.0
2021-2022,609933,GALE,,,,,,,223.0,0.0,15.0,23.0,24.0,25.0,23.0,20.0,23.0,17.0,26.0,27.0,0.0,0.0,0.0,0.0
2021-2022,609976,HAYT,,,,,,,886.0,46.0,58.0,81.0,78.0,90.0,80.0,86.0,81.0,85.0,96.0,105.0,0.0,0.0,0.0,0.0
2021-2022,610011,JAMIESON,,,,,,,781.0,1.0,21.0,74.0,80.0,85.0,93.0,83.0,79.0,79.0,96.0,90.0,0.0,0.0,0.0,0.0
2021-2022,609865,JORDAN,,,,,,,463.0,23.0,36.0,52.0,48.0,42.0,50.0,43.0,33.0,37.0,48.0,51.0,0.0,0.0,0.0,0.0
2021-2022,610022,KILMER,,,,,,,716.0,27.0,30.0,73.0,70.0,73.0,58.0,76.0,76.0,73.0,81.0,79.0,0.0,0.0,0.0,0.0
2021-2022,610269,MCCUTCHEON,,,,,,,309.0,37.0,22.0,34.0,31.0,19.0,29.0,21.0,32.0,30.0,25.0,29.0,0.0,0.0,0.0,0.0
2021-2022,610070,MCPHERSON,,,,,,,650.0,32.0,75.0,64.0,82.0,48.0,48.0,53.0,61.0,68.0,65.0,54.0,0.0,0.0,0.0,0.0
2021-2022,610284,NEW FIELD,,,,,,,544.0,18.0,74.0,101.0,102.0,90.0,75.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,610141,RAVENSWOOD,,,,,,,516.0,0.0,35.0,39.0,56.0,51.0,64.0,55.0,59.0,49.0,62.0,46.0,0.0,0.0,0.0,0.0
2021-2022,610191,STONE,,,,,,,548.0,0.0,0.0,54.0,53.0,56.0,81.0,55.0,81.0,58.0,54.0,56.0,0.0,0.0,0.0,0.0
2021-2022,610196,SWIFT,,,,,,,549.0,25.0,32.0,55.0,71.0,49.0,55.0,47.0,51.0,48.0,58.0,58.0,0.0,0.0,0.0,0.0
2021-2022,610220,WATERS,,,,,,,630.0,0.0,19.0,80.0,74.0,77.0,68.0,71.0,52.0,70.0,45.0,74.0,0.0,0.0,0.0,0.0
2021-2022,609922,BELMONT-CRAGIN,,,,,,,454.0,51.0,79.0,48.0,41.0,40.0,29.0,29.0,40.0,43.0,25.0,29.0,0.0,0.0,0.0,0.0
2021-2022,609830,BRUNSON,,,,,,,417.0,31.0,43.0,52.0,36.0,38.0,22.0,33.0,41.0,41.0,34.0,46.0,0.0,0.0,0.0,0.0
2021-2022,609818,BURBANK,,,,,,,739.0,3.0,34.0,61.0,63.0,76.0,80.0,70.0,74.0,92.0,96.0,90.0,0.0,0.0,0.0,0.0
2021-2022,610367,DEPRIEST,,,,,,,464.0,2.0,46.0,50.0,45.0,36.0,38.0,57.0,34.0,55.0,50.0,51.0,0.0,0.0,0.0,0.0
2021-2022,609904,ELLINGTON,,,,,,,409.0,36.0,48.0,35.0,41.0,34.0,36.0,37.0,34.0,31.0,34.0,43.0,0.0,0.0,0.0,0.0
2021-2022,609910,FALCONER,,,,,,,898.0,2.0,64.0,105.0,127.0,103.0,135.0,125.0,119.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,610068,HANSON PARK,,,,,,,1175.0,40.0,75.0,95.0,115.0,90.0,122.0,105.0,117.0,115.0,146.0,155.0,0.0,0.0,0.0,0.0
2021-2022,609975,HAY,,,,,,,268.0,0.0,22.0,22.0,24.0,31.0,22.0,33.0,32.0,31.0,25.0,26.0,0.0,0.0,0.0,0.0
2021-2022,610305,LELAND,,,,,,,365.0,21.0,30.0,40.0,29.0,39.0,33.0,29.0,38.0,32.0,36.0,38.0,0.0,0.0,0.0,0.0
2021-2022,610036,LEWIS,,,,,,,401.0,3.0,21.0,31.0,27.0,48.0,32.0,50.0,43.0,49.0,40.0,57.0,0.0,0.0,0.0,0.0
2021-2022,610041,LOCKE J,,,,,,,1176.0,44.0,70.0,120.0,110.0,104.0,110.0,112.0,125.0,132.0,129.0,120.0,0.0,0.0,0.0,0.0
2021-2022,610043,LOVETT,,,,,,,306.0,1.0,21.0,28.0,34.0,32.0,32.0,23.0,41.0,25.0,32.0,37.0,0.0,0.0,0.0,0.0
2021-2022,610046,LYON,,,,,,,1105.0,1.0,30.0,81.0,106.0,108.0,103.0,112.0,129.0,127.0,139.0,169.0,0.0,0.0,0.0,0.0
2021-2022,610282,MCNAIR,,,,,,,341.0,2.0,18.0,34.0,31.0,33.0,20.0,41.0,35.0,45.0,45.0,37.0,0.0,0.0,0.0,0.0
2021-2022,610092,NASH,,,,,,,221.0,2.0,24.0,24.0,18.0,31.0,25.0,14.0,21.0,17.0,18.0,27.0,0.0,0.0,0.0,0.0
2021-2022,610051,NORTHWEST,,,,,,,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,150.0,169.0,0.0,0.0,0.0,0.0
2021-2022,610533,PRIETO,,,,,,,788.0,6.0,20.0,64.0,64.0,82.0,91.0,77.0,76.0,105.0,94.0,109.0,0.0,0.0,0.0,0.0
2021-2022,610158,SAYRE,,,,,,,431.0,3.0,50.0,34.0,55.0,50.0,34.0,48.0,45.0,40.0,31.0,41.0,0.0,0.0,0.0,0.0
2021-2022,610165,SCHUBERT,,,,,,,554.0,2.0,51.0,81.0,81.0,94.0,75.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,610183,SPENCER,,,,,,,433.0,2.0,35.0,34.0,52.0,43.0,47.0,41.0,47.0,37.0,44.0,51.0,0.0,0.0,0.0,0.0
2021-2022,610235,YOUNG ES,,,,,,,512.0,1.0,32.0,43.0,48.0,32.0,57.0,50.0,53.0,53.0,71.0,72.0,0.0,0.0,0.0,0.0
2021-2022,609774,ALCOTT ES,,,,,,,602.0,1.0,74.0,52.0,53.0,61.0,60.0,58.0,66.0,63.0,69.0,45.0,0.0,0.0,0.0,0.0
2021-2022,609782,AUDUBON,,,,,,,490.0,1.0,38.0,63.0,56.0,50.0,49.0,52.0,53.0,39.0,44.0,45.0,0.0,0.0,0.0,0.0
2021-2022,610325,AVONDALE-LOGANDALE,,,,,,,523.0,0.0,29.0,48.0,50.0,56.0,38.0,54.0,58.0,60.0,66.0,64.0,0.0,0.0,0.0,0.0
2021-2022,609789,BARRY,,,,,,,465.0,0.0,39.0,54.0,63.0,54.0,63.0,63.0,61.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,609799,BELL,,,,,,,904.0,4.0,0.0,95.0,95.0,103.0,93.0,112.0,105.0,86.0,99.0,112.0,0.0,0.0,0.0,0.0
2021-2022,609803,BLAINE,,,,,,,672.0,0.0,54.0,64.0,73.0,77.0,63.0,62.0,83.0,59.0,74.0,63.0,0.0,0.0,0.0,0.0
2021-2022,609809,BRENTANO,,,,,,,669.0,21.0,51.0,84.0,84.0,82.0,81.0,71.0,60.0,46.0,38.0,51.0,0.0,0.0,0.0,0.0
2021-2022,609853,CHASE,,,,,,,394.0,36.0,48.0,46.0,44.0,23.0,29.0,33.0,33.0,32.0,36.0,34.0,0.0,0.0,0.0,0.0
2021-2022,609875,DARWIN,,,,,,,550.0,27.0,53.0,46.0,59.0,64.0,49.0,56.0,50.0,45.0,52.0,49.0,0.0,0.0,0.0,0.0
2021-2022,609926,FRANKLIN,,,,,,,360.0,0.0,0.0,28.0,31.0,29.0,30.0,61.0,60.0,61.0,29.0,31.0,0.0,0.0,0.0,0.0
2021-2022,609930,FUNSTON,,,,,,,403.0,2.0,30.0,34.0,33.0,35.0,46.0,40.0,45.0,43.0,47.0,48.0,0.0,0.0,0.0,0.0
2021-2022,609942,GOETHE,,,,,,,730.0,42.0,54.0,83.0,83.0,77.0,67.0,59.0,71.0,73.0,65.0,56.0,0.0,0.0,0.0,0.0
2021-2022,609850,GREELEY,,,,,,,372.0,0.0,23.0,22.0,32.0,30.0,39.0,36.0,39.0,47.0,50.0,54.0,0.0,0.0,0.0,0.0
2021-2022,609963,HAMILTON,,,,,,,449.0,0.0,20.0,52.0,57.0,45.0,53.0,51.0,52.0,48.0,42.0,29.0,0.0,0.0,0.0,0.0
2021-2022,609974,HAWTHORNE,,,,,,,576.0,0.0,0.0,58.0,64.0,72.0,64.0,70.0,64.0,67.0,62.0,55.0,0.0,0.0,0.0,0.0
2021-2022,610078,INTER-AMERICAN,,,,,,,681.0,0.0,49.0,68.0,86.0,78.0,79.0,70.0,78.0,61.0,55.0,57.0,0.0,0.0,0.0,0.0
2021-2022,610010,JAHN,,,,,,,311.0,20.0,52.0,38.0,30.0,26.0,30.0,17.0,20.0,23.0,29.0,26.0,0.0,0.0,0.0,0.0
2021-2022,610033,LASALLE,,,,,,,469.0,0.0,0.0,49.0,57.0,56.0,53.0,57.0,58.0,47.0,41.0,51.0,0.0,0.0,0.0,0.0
2021-2022,610038,LINCOLN,,,,,,,823.0,0.0,0.0,91.0,76.0,98.0,93.0,98.0,93.0,99.0,87.0,88.0,0.0,0.0,0.0,0.0
2021-2022,610048,MANIERRE,,,,,,,266.0,0.0,27.0,28.0,36.0,30.0,33.0,21.0,28.0,22.0,16.0,25.0,0.0,0.0,0.0,0.0
2021-2022,610059,MAYER,,,,,,,645.0,0.0,45.0,90.0,69.0,85.0,59.0,59.0,53.0,64.0,58.0,63.0,0.0,0.0,0.0,0.0
2021-2022,609968,MCAULIFFE,,,,,,,571.0,14.0,49.0,45.0,58.0,47.0,63.0,59.0,63.0,68.0,53.0,52.0,0.0,0.0,0.0,0.0
2021-2022,610074,MONROE,,,,,,,701.0,29.0,63.0,51.0,71.0,54.0,75.0,49.0,65.0,73.0,86.0,85.0,0.0,0.0,0.0,0.0
2021-2022,610088,MOZART,,,,,,,480.0,0.0,33.0,53.0,43.0,48.0,48.0,34.0,50.0,56.0,59.0,56.0,0.0,0.0,0.0,0.0
2021-2022,610094,NETTELHORST,,,,,,,675.0,0.0,60.0,68.0,84.0,72.0,62.0,60.0,70.0,66.0,66.0,67.0,0.0,0.0,0.0,0.0
2021-2022,610095,NEWBERRY,,,,,,,386.0,0.0,19.0,41.0,39.0,41.0,36.0,34.0,47.0,45.0,43.0,41.0,0.0,0.0,0.0,0.0
2021-2022,610097,NIXON,,,,,,,588.0,0.0,37.0,81.0,72.0,73.0,69.0,82.0,86.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-2022,610136,PRESCOTT,,,,,,,415.0,0.0,0.0,52.0,42.0,42.0,44.0,44.0,45.0,48.0,44.0,54.0,0.0,0.0,0.0,0.0
2021-2022,610144,REILLY,,,,,,,608.0,0.0,32.0,54.0,58.0,52.0,65.0,65.0,75.0,48.0,80.0,79.0,0.0,0.0,0.0,0.0
2021-2022,610534,SKINNER NORTH,,,,,,,493.0,0.0,0.0,53.0,55.0,56.0,55.0,58.0,57.0,62.0,41.0,56.0,0.0,0.0,0.0,0.0
2021-2022,609773,TUBMAN,,,,,,,393.0,24.0,7.0,36.0,39.0,41.0,30.0,35.0,46.0,39.0,42.0,54.0,0.0,0.0,0.0,0.0
2021-2022,609797,BEIDLER,,,,,,,306.0,1.0,27.0,32.0,39.0,39.0,25.0,24.0,32.0,32.0,29.0,26.0,0.0,0.0,0.0,0.0
2021-2022,610021,CASALS,,,,,,,353.0,16.0,30.0,39.0,27.0,37.0,23.0,32.0,30.0,39.0,42.0,38.0,0.0,0.0,0.0,0.0
2021-2022,610251,CATHER,,,,,,,335.0,14.0,22.0,28.0,32.0,30.0,28.0,38.0,30.0,37.0,31.0,45.0,0.0,0.0,0.0,0.0
2021-2022,609854,CHOPIN,,,,,,,288.0,0.0,25.0,25.0,27.0,24.0,23.0,30.0,34.0,27.0,29.0,44.0,0.0,0.0,0.0,0.0
2021-2022,609873,CROWN,,,,,,,141.0,1.0,9.0,14.0,11.0,22.0,14.0,20.0,8.0,13.0,12.0,17.0,0.0,0.0,0.0,0.0
2021-2022,610313,DE DIEGO,,,,,,,464.0,21.0,28.0,38.0,39.0,44.0,47.0,43.0,56.0,42.0,54.0,52.0,0.0,0.0,0.0,0.0
2021-2022,609907,ERICSON,,,,,,,405.0,0.0,29.0,34.0,49.0,42.0,37.0,34.0,42.0,44.0,44.0,50.0,0.0,0.0,0.0,0.0
2021-2022,610055,FARADAY,,,,,,,184.0,0.0,19.0,17.0,19.0,24.0,26.0,13.0,16.0,18.0,13.0,19.0,0.0,0.0,0.0,0.0
2021-2022,609954,GREGORY,,,,,,,284.0,1.0,12.0,23.0,21.0,35.0,26.0,30.0,28.0,44.0,30.0,34.0,0.0,0.0,0.0,0.0
2021-2022,609985,HEFFERAN,,,,,,,224.0,0.0,10.0,22.0,25.0,21.0,21.0,18.0,30.0,25.0,24.0,28.0,0.0,0.0,0.0,0.0
2021-2022,610271,JENSEN,,,,,,,300.0,0.0,17.0,23.0,25.0,38.0,24.0,24.0,40.0,30.0,39.0,40.0,0.0,0.0,0.0,0.0
2021-2022,609925,KELLMAN,,,,,,,213.0,5.0,15.0,18.0,21.0,24.0,19.0,20.0,19.0,21.0,23.0,28.0,0.0,0.0,0.0,0.0
2021-2022,610034,LAWNDALE,,,,,,,216.0,1.0,28.0,17.0,24.0,24.0,19.0,19.0,21.0,16.0,23.0,24.0,0.0,0.0,0.0,0.0
2021-2022,610044,LOWELL,,,,,,,311.0,16.0,22.0,23.0,33.0,31.0,24.0,29.0,31.0,34.0,33.0,35.0,0.0,0.0,0.0,0.0
2021-2022,610293,MELODY,,,,,,,310.0,1.0,32.0,28.0,22.0,34.0,33.0,30.0,35.0,26.0,24.0,45.0,0.0,0.0,0.0,0.0
2021-2022,610076,MOOS,,,,,,,433.0,1.0,37.0,47.0,46.0,51.0,35.0,35.0,43.0,48.0,37.0,53.0,0.0,0.0,0.0,0.0
2021-2022,610106,PICCOLO,,,,,,,546.0,27.0,39.0,47.0,38.0,62.0,50.0,51.0,57.0,55.0,59.0,61.0,0.0,0.0,0.0,0.0
2021-2022,610192,STOWE,,,,,,,585.0,25.0,47.0,55.0,63.0,62.0,58.0,50.0,53.0,51.0,59.0,62.0,0.0,0.0,0.0,0.0
2021-2022,610194,SUMNER,,,,,,,218.0,0.0,16.0,19.0,30.0,22.0,14.0,20.0,24.0,22.0,21.0,30.0,0.0,0.0,0.0,0.0
2021-2022,610202,TILTON,,,,,,,253.0,0.0,12.0,23.0,23.0,23.0,28.0,23.0,27.0,43.0,26.0,25.0,0.0,0.0,0.0,0.0
2021-2022,610133,WARD L,,,,,,,286.0,9.0,14.0,27.0,27.0,27.0,27.0,33.0,25.0,30.0,34.0,33.0,0.0,0.0,0.0,0.0
2021-2022,610221,WEBSTER,,,,,,,222.0,0.0,14.0,21.0,29.0,22.0,24.0,19.0,28.0,16.0,25.0,24.0,0.0,0.0,0.0,0.0
2021-2022,610100,WEST PARK,,,,,,,489.0,1.0,29.0,53.0,47.0,48.0,57.0,43.0,48.0,50.0,60.0,53.0,0.0,0.0,0.0,0.0
2021-2022,610234,YATES,,,,,,,302.0,0.0,17.0,33.0,22.0,24.0,25.0,22.0,30.0,32.0,48.0,49.0,0.0,0.0,0.0,0.0
2021-2022,609812,BROWN W,,,,,,,187.0,1.0,14.0,16.0,16.0,16.0,17.0,13.0,21.0,31.0,21.0,21.0,0.0,0.0,0.0,0.0
2021-2022,609828,BURR,,,,,,,489.0,0.0,0.0,50.0,54.0,50.0,57.0,58.0,54.0,59.0,55.0,52.0,0.0,0.0,0.0,0.0
2021-2022,610060,Chicago World Language Academy,,,,,,,445.0,0.0,0.0,48.0,52.0,50.0,53.0,49.0,55.0,47.0,42.0,49.0,0.0,0.0,0.0,0.0
2021-2022,610252,DETT,,,,,,,288.0,15.0,29.0,28.0,21.0,29.0,24.0,28.0,23.0,22.0,34.0,35.0,0.0,0.0,0.0,0.0
2021-2022,609896,DRUMMOND,,,,,,,312.0,34.0,28.0,29.0,34.0,31.0,30.0,25.0,30.0,25.0,25.0,21.0,0.0,0.0,0.0,0.0
2021-2022,610009,GALILEO,,,,,,,546.0,0.0,0.0,61.0,67.0,65.0,61.0,59.0,60.0,59.0,58.0,56.0,0.0,0.0,0.0,0.0
2021-2022,609947,GRAHAM ES,,,,,,,346.0,1.0,25.0,26.0,48.0,33.0,25.0,29.0,36.0,43.0,40.0,40.0,0.0,0.0,0.0,0.0
2021-2022,609959,HAINES,,,,,,,567.0,0.0,18.0,58.0,42.0,55.0,64.0,50.0,61.0,71.0,81.0,67.0,0.0,0.0,0.0,0.0
2021-2022,609979,HEALY,,,,,,,1269.0,0.0,0.0,117.0,128.0,120.0,140.0,136.0,144.0,166.0,159.0,159.0,0.0,0.0,0.0,0.0
2021-2022,610121,IRVING,,,,,,,297.0,14.0,25.0,24.0,24.0,26.0,28.0,26.0,23.0,42.0,30.0,35.0,0.0,0.0,0.0,0.0
2021-2022,610029,LOZANO,,,,,,,174.0,29.0,19.0,12.0,15.0,13.0,17.0,9.0,22.0,10.0,18.0,10.0,0.0,0.0,0.0,0.0
2021-2022,610062,MCCLELLAN,,,,,,,304.0,0.0,19.0,24.0,27.0,39.0,31.0,34.0,43.0,34.0,23.0,30.0,0.0,0.0,0.0,0.0
2021-2022,610107,OTIS,,,,,,,309.0,24.0,17.0,31.0,21.0,37.0,22.0,29.0,28.0,43.0,26.0,31.0,0.0,0.0,0.0,0.0
2021-2022,610229,PRITZKER,,,,,,,655.0,0.0,17.0,62.0,58.0,71.0,57.0,65.0,65.0,81.0,71.0,108.0,0.0,0.0,0.0,0.0
2021-2022,610138,PULASKI,,,,,,,832.0,1.0,37.0,84.0,90.0,86.0,85.0,100.0,87.0,98.0,73.0,91.0,0.0,0.0,0.0,0.0
2021-2022,610308,RUDOLPH,,,,,,,97.0,4.0,17.0,9.0,11.0,5.0,12.0,5.0,11.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0
2021-2022,610342,SABIN,,,,,,,374.0,0.0,29.0,28.0,29.0,33.0,21.0,38.0,50.0,49.0,43.0,54.0,0.0,0.0,0.0,0.0
2021-2022,610180,SMYTH,,,,,,,388.0,0.0,20.0,34.0,36.0,50.0,53.0,37.0,37.0,41.0,37.0,43.0,0.0,0.0,0.0,0.0
2021-2022,610405,SUDER,,,,,,,436.0,55.0,46.0,42.0,49.0,43.0,44.0,33.0,34.0,43.0,25.0,22.0,0.0,0.0,0.0,0.0
2021-2022,610197,TALCOTT,,,,,,,444.0,3.0,27.0,45.0,48.0,47.0,51.0,52.0,37.0,47.0,37.0,50.0,0.0,0.0,0.0,0.0
